"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,,ES_35002,,2,,
004,MBB DEUPS,,ES_35003,,2,,
004,MBB DEUPS,,ES_35004,,2,,
004,MBB DEUPS,,ES_35005,,2,,
004,MBB DEUPS,,ES_35006,,2,,
004,MBB DEUPS,,ES_35007,,2,,
004,MBB DEUPS,,ES_35008,,2,,
004,MBB DEUPS,,ES_35009,,2,,
004,MBB DEUPS,,ES_3501,,2,,
004,MBB DEUPS,,ES_3502,,2,,
004,MBB DEUPS,,ES_3503,,2,,
004,MBB DEUPS,,ES_3504,,2,,
004,MBB DEUPS,,ES_3505,,2,,
004,MBB DEUPS,,ES_35061,,2,,
004,MBB DEUPS,,ES_35062,,2,,
004,MBB DEUPS,,ES_35063,,2,,
004,MBB DEUPS,,ES_35064,,2,,
004,MBB DEUPS,,ES_35065,,2,,
004,MBB DEUPS,,ES_35066,,2,,
004,MBB DEUPS,,ES_35067,,2,,
004,MBB DEUPS,,ES_35068,,2,,
004,MBB DEUPS,,ES_35069,,2,,
004,MBB DEUPS,,ES_3507,,2,,
004,MBB DEUPS,,ES_3508,,2,,
004,MBB DEUPS,,ES_3509,,2,,
004,MBB DEUPS,,ES_35100,,2,,
004,MBB DEUPS,,ES_35101,,2,,
004,MBB DEUPS,,ES_35102,,2,,
004,MBB DEUPS,,ES_35103,,2,,
004,MBB DEUPS,,ES_35104,,2,,
004,MBB DEUPS,,ES_35105,,2,,
004,MBB DEUPS,,ES_35106,,2,,
004,MBB DEUPS,,ES_35107,,2,,
004,MBB DEUPS,,ES_35109,,2,,
004,MBB DEUPS,,ES_3511,,2,,
004,MBB DEUPS,,ES_3512,,2,,
004,MBB DEUPS,,ES_3513,,2,,
004,MBB DEUPS,,ES_35140,,2,,
004,MBB DEUPS,,ES_35141,,2,,
004,MBB DEUPS,,ES_35142,,2,,
004,MBB DEUPS,,ES_35143,,2,,
004,MBB DEUPS,,ES_35144,,2,,
004,MBB DEUPS,,ES_35145,,2,,
004,MBB DEUPS,,ES_35146,,2,,
004,MBB DEUPS,,ES_35147,,2,,
004,MBB DEUPS,,ES_35148,,2,,
004,MBB DEUPS,,ES_3515,,2,,
004,MBB DEUPS,,ES_3516,,2,,
004,MBB DEUPS,,ES_3517,,2,,
004,MBB DEUPS,,ES_3518,,2,,
004,MBB DEUPS,,ES_35191,,2,,
004,MBB DEUPS,,ES_35198,,2,,
004,MBB DEUPS,,ES_35200,,2,,
004,MBB DEUPS,,ES_35201,,2,,
004,MBB DEUPS,,ES_35202,,2,,
004,MBB DEUPS,,ES_35203,,2,,
004,MBB DEUPS,,ES_35204,,2,,
004,MBB DEUPS,,ES_35206,,2,,
004,MBB DEUPS,,ES_35207,,2,,
004,MBB DEUPS,,ES_35208,,2,,
004,MBB DEUPS,,ES_35209,,2,,
004,MBB DEUPS,,ES_35210,,2,,
004,MBB DEUPS,,ES_35211,,2,,
004,MBB DEUPS,,ES_35212,,2,,
004,MBB DEUPS,,ES_35213,,2,,
004,MBB DEUPS,,ES_35214,,2,,
004,MBB DEUPS,,ES_35215,,2,,
004,MBB DEUPS,,ES_35217,,2,,
004,MBB DEUPS,,ES_35218,,2,,
004,MBB DEUPS,,ES_35219,,2,,
004,MBB DEUPS,,ES_3522,,2,,
004,MBB DEUPS,,ES_3523,,2,,
004,MBB DEUPS,,ES_3524,,2,,
004,MBB DEUPS,,ES_3525,,2,,
004,MBB DEUPS,,ES_3526,,2,,
004,MBB DEUPS,,ES_3527,,2,,
004,MBB DEUPS,,ES_35281,,2,,
004,MBB DEUPS,,ES_35282,,2,,
004,MBB DEUPS,,ES_35283,,2,,
004,MBB DEUPS,,ES_35284,,2,,
004,MBB DEUPS,,ES_35285,,2,,
004,MBB DEUPS,,ES_35286,,2,,
004,MBB DEUPS,,ES_35287,,2,,
004,MBB DEUPS,,ES_35288,,2,,
004,MBB DEUPS,,ES_35289,,2,,
004,MBB DEUPS,,ES_35290,,2,,
004,MBB DEUPS,,ES_35291,,2,,
004,MBB DEUPS,,ES_35292,,2,,
004,MBB DEUPS,,ES_35293,,2,,
004,MBB DEUPS,,ES_35294,,2,,
004,MBB DEUPS,,ES_35295,,2,,
004,MBB DEUPS,,ES_35296,,2,,
004,MBB DEUPS,,ES_35297,,2,,
004,MBB DEUPS,,ES_35298,,2,,
004,MBB DEUPS,,ES_3530,,2,,
004,MBB DEUPS,,ES_35310,,2,,
004,MBB DEUPS,,ES_35311,,2,,
004,MBB DEUPS,,ES_35312,,2,,
004,MBB DEUPS,,ES_35313,,2,,
004,MBB DEUPS,,ES_35314,,2,,
004,MBB DEUPS,,ES_35315,,2,,
004,MBB DEUPS,,ES_35316,,2,,
004,MBB DEUPS,,ES_35317,,2,,
