"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,AT,4092,4092,3,
004,MBB DEUPS,AT,4161,4164,3,
004,MBB DEUPS,AT,4263,4263,3,
004,MBB DEUPS,AT,4463,4463,3,
004,MBB DEUPS,AT,4573,4575,3,
004,MBB DEUPS,AT,5505,5505,3,
004,MBB DEUPS,AT,5561,5563,3,
004,MBB DEUPS,AT,5572,5572,3,
004,MBB DEUPS,AT,5583,5585,3,
004,MBB DEUPS,AT,5591,5592,3,
004,MBB DEUPS,AT,5611,5611,3,
004,MBB DEUPS,AT,5752,5754,3,
004,MBB DEUPS,AT,6215,6215,3,
004,MBB DEUPS,AT,6652,6655,3,
004,MBB DEUPS,AT,6672,6673,3,
004,MBB DEUPS,AT,6675,6675,3,
004,MBB DEUPS,AT,6677,6677,3,
004,MBB DEUPS,AT,6682,6682,3,
004,MBB DEUPS,AT,6691,6691,3,
004,MBB DEUPS,AT,6708,6708,3,
004,MBB DEUPS,AT,6886,6886,3,
004,MBB DEUPS,AT,6888,6888,3,
004,MBB DEUPS,AT,6991,6993,3,
004,MBB DEUPS,AT,8663,8663,3,
004,MBB DEUPS,AT,8673,8674,3,
004,MBB DEUPS,AT,8762,8765,3,
004,MBB DEUPS,AT,8832,8832,3,
004,MBB DEUPS,AT,8971,8974,3,
004,MBB DEUPS,AT,8993,8993,3,
004,MBB DEUPS,AT,9363,9363,3,
004,MBB DEUPS,AT,9782,9782,3,
004,MBB DEUPS,AT,9931,9932,3,
004,MBB DEUPS,AT,9941,9942,3,
004,MBB DEUPS,AT,9961,9963,3,
004,MBB DEUPS,AT,9972,9972,3,
004,MBB DEUPS,AT,9974,9974,3,
004,MBB DEUPS,AT,9981,9981,3,
004,MBB DEUPS,CZ,33039,33039,3,
004,MBB DEUPS,CZ,33040,33040,3,
004,MBB DEUPS,CZ,34951,34954,3,
004,MBB DEUPS,CZ,34972,34972,3,
004,MBB DEUPS,CZ,35121,35122,3,
004,MBB DEUPS,CZ,35124,35124,3,
004,MBB DEUPS,CZ,35131,35133,3,
004,MBB DEUPS,CZ,35201,35202,3,
004,MBB DEUPS,CZ,37872,37873,3,
004,MBB DEUPS,CZ,37881,37881,3,
004,MBB DEUPS,CZ,38223,38223,3,
004,MBB DEUPS,CZ,38226,38226,3,
004,MBB DEUPS,CZ,38276,38276,3,
004,MBB DEUPS,CZ,38293,38293,3,
004,MBB DEUPS,CZ,38441,38444,3,
004,MBB DEUPS,CZ,38451,38451,3,
004,MBB DEUPS,CZ,38491,38493,3,
004,MBB DEUPS,CZ,40753,40753,3,
004,MBB DEUPS,CZ,40760,40761,3,
004,MBB DEUPS,CZ,40777,40779,3,
004,MBB DEUPS,CZ,40784,40784,3,
004,MBB DEUPS,CZ,43121,43121,3,
004,MBB DEUPS,CZ,43132,43132,3,
004,MBB DEUPS,CZ,43182,43182,3,
004,MBB DEUPS,CZ,43184,43184,3,
004,MBB DEUPS,CZ,43186,43186,3,
004,MBB DEUPS,CZ,43191,43191,3,
004,MBB DEUPS,CZ,43546,43547,3,
004,MBB DEUPS,CZ,46322,46323,3,
004,MBB DEUPS,CZ,46361,46361,3,
004,MBB DEUPS,CZ,46362,46364,3,
004,MBB DEUPS,CZ,46365,46365,3,
004,MBB DEUPS,CZ,46366,46367,3,
004,MBB DEUPS,CZ,46371,46371,3,
004,MBB DEUPS,CZ,46373,46373,3,
004,MBB DEUPS,CZ,46374,46374,3,
004,MBB DEUPS,CZ,46401,46401,3,
004,MBB DEUPS,CZ,46812,46812,3,
004,MBB DEUPS,CZ,46844,46844,3,
004,MBB DEUPS,CZ,46850,46850,3,
004,MBB DEUPS,CZ,54955,54955,3,
004,MBB DEUPS,CZ,54961,54961,3,
004,MBB DEUPS,CZ,54971,54971,3,
004,MBB DEUPS,CZ,54972,54974,3,
004,MBB DEUPS,CZ,54981,54983,3,
004,MBB DEUPS,CZ,54984,54984,3,
004,MBB DEUPS,CZ,55001,55001,3,
004,MBB DEUPS,CZ,55003,55003,3,
004,MBB DEUPS,CZ,58232,58233,3,
004,MBB DEUPS,CZ,58274,58274,3,
004,MBB DEUPS,CZ,58282,58284,3,
004,MBB DEUPS,CZ,58286,58287,3,
004,MBB DEUPS,CZ,58291,58294,3,
004,MBB DEUPS,CZ,58401,58401,3,
004,MBB DEUPS,CZ,67122,67129,3,
004,MBB DEUPS,CZ,67167,67169,3,
004,MBB DEUPS,CZ,67181,67183,3,
004,MBB DEUPS,CZ,67185,67185,3,
004,MBB DEUPS,CZ,68755,68755,3,
004,MBB DEUPS,CZ,68765,68767,3,
004,MBB DEUPS,CZ,68771,68772,3,
004,MBB DEUPS,CZ,68774,68774,3,
004,MBB DEUPS,CZ,69663,69664,3,
004,MBB DEUPS,CZ,69666,69667,3,
004,MBB DEUPS,CZ,69675,69675,3,
004,MBB DEUPS,CZ,73982,73982,3,
004,MBB DEUPS,CZ,73985,73985,3,
004,MBB DEUPS,CZ,73991,73991,3,
004,MBB DEUPS,CZ,73994,73998,3,
004,MBB DEUPS,CZ,78825,78825,3,
004,MBB DEUPS,CZ,78832,78832,3,
004,MBB DEUPS,CZ,79001,79001,3,
004,MBB DEUPS,CZ,79003,79003,3,
004,MBB DEUPS,CZ,79051,79055,3,
004,MBB DEUPS,CZ,79056,79056,3,
004,MBB DEUPS,CZ,79057,79057,3,
004,MBB DEUPS,CZ,79058,79058,3,
004,MBB DEUPS,CZ,79061,79061,3,
004,MBB DEUPS,CZ,79063,79063,3,
004,MBB DEUPS,CZ,79064,79064,3,
004,MBB DEUPS,CZ,79065,79065,3,
004,MBB DEUPS,CZ,79066,79066,3,
004,MBB DEUPS,CZ,79067,79067,3,
004,MBB DEUPS,CZ,79068,79068,3,
004,MBB DEUPS,CZ,79069,79069,3,
004,MBB DEUPS,CZ,79070,79070,3,
004,MBB DEUPS,CZ,79081,79084,3,
004,MBB DEUPS,CZ,79376,79376,3,
004,MBB DEUPS,DK,4944,4944,3,
004,MBB DEUPS,DK,5900,5999,3,
004,MBB DEUPS,DK,6270,6270,3,
004,MBB DEUPS,DK,6280,6280,3,
004,MBB DEUPS,DK,6720,6720,3,
004,MBB DEUPS,DK,6792,6792,3,
004,MBB DEUPS,DK,6818,6869,3,
004,MBB DEUPS,DK,6871,6879,3,
004,MBB DEUPS,DK,6881,6890,3,
004,MBB DEUPS,DK,6893,6893,3,
004,MBB DEUPS,DK,6960,6960,3,
004,MBB DEUPS,DK,9492,9492,3,
004,MBB DEUPS,DK,9493,9493,3,
004,MBB DEUPS,DK,9970,9990,3,
004,MBB DEUPS,FI,21630,22950,3,
004,MBB DEUPS,FI,39750,44970,3,
004,MBB DEUPS,FI,52720,86999,3,
